response_id,timestamp,age,gender,location,occupation,education,income,marital_status,household_size,shopping_frequency,current_platforms,categories_purchased,primary_device,monthly_spending_total,fashion_spending,homedecor_spending,wellness_spending,fashion_purchase_freq,homedecor_purchase_freq,wellness_purchase_freq,decision_factors,pain_points,feature_importance_curated_collections,feature_importance_personalized_recommendations,feature_importance_ar_virtual_try-on,feature_importance_live_shopping_video_commerce,feature_importance_subscription_boxes,feature_importance_same-day_next-day_delivery,feature_importance_loyalty_rewards_program,feature_importance_style_lifestyle_content,feature_importance_community_reviews_&_forums,sustainability_importance,sustainability_pay_more,artisan_support,shopping_style,discovery_channels,shopizz_categories_interest,features_likely_to_use,likelihood_to_try,shopizz_monthly_spending,likelihood_to_recommend,will_signup,reason_for_no,loyalty_factors,open_feedback,other_comments,email_capture
RESP_0215,25:59.4,35-44 years,Female,Tier 2 Cities,Salaried Professional (Private Sector),Postgraduate (Master's degree or higher),"₹50,001 - ₹75,000",Married with children,03-Apr,2-3 times a month,Brand Websites directly|Myntra|Flipkart|Pepperfry|Nykaa,Wellness - Skincare|Other|Fashion - Accessories,Smartphone,"₹10,001 - ₹20,000","₹5,001 - ₹10,000",₹0,"₹1 - ₹1,000",Monthly,Never,Quarterly,Easy Returns/Exchanges|Product Quality|Price/Discounts,Payment security concerns|Poor customer service|High shipping charges|Too many options (overwhelming),Moderately Important,Very Important,Not Important,Moderately Important,Very Important,Very Important,Slightly Important,Moderately Important,Very Important,Not important at all,Up to 5% more,Extremely important,Premium Quality,Influencer Recommendations|Platform Recommendations|Search Engines (Google)|Email Newsletters,Wellness - Skincare|Fashion Accessories|Home Décor - Decorative Items|Home Décor - Furniture|Wellness - Fitness Products,Custom/personalized products|Subscription boxes|Same-day delivery,Maybe/Not sure (3),₹1 - ₹500,Not sure,NO,Not interested in these product categories,N/A,,,Yes
RESP_0216,50:37.4,25-34 years,Male,Tier 1 Cities,Salaried Professional (Private Sector),Professional degree,"₹75,001 - ₹1,00,000",Married with children,03-Apr,2-3 times a month,Instagram Shopping|FirstCry|Flipkart|Meesho,Fashion - Footwear|Home Décor - Furnishings|Fashion - Men's Clothing,Smartphone,"₹5,001 - ₹10,000","₹1,501 - ₹3,000","₹2,501 - ₹5,000",₹0,Quarterly,Monthly,Never,Customer Service|Sustainable/Eco-friendly Products|Price/Discounts,Not enough sustainable/ethical options|Complicated return process|Too many options (overwhelming)|High shipping charges|Other,Very Important,Very Important,Moderately Important,Moderately Important,Moderately Important,Extremely Important,Moderately Important,Extremely Important,Very Important,Extremely important,11-20% more,Slightly important,Premium Quality,Platform Recommendations|Influencer Recommendations|Fashion/Lifestyle Blogs/Magazines,Home Décor - Furniture|Men's Fashion|Western Wear|Home Décor - Decorative Items|Home Décor - Furnishings|Women's Fashion|Wellness - Skincare,Live shopping events|Rent/Trial before purchase|Style consultation services|Same-day delivery,Maybe/Not sure (3),₹1 - ₹500,Not sure,NO,Other,N/A,,,No
RESP_0217,01:58.4,25-34 years,Male,Tier 3 Cities/Towns,Salaried Professional (Private Sector),High School or below,"₹50,001 - ₹75,000",Single,2,2-3 times a month,Meesho|Brand Websites directly|Pepperfry|Urban Ladder|Amazon,Electronics|Books|Wellness - Aromatherapy|Home Décor - Lighting|Home Décor - Furniture,Smartphone,"₹2,501 - ₹5,000",₹0,"Above ₹10,000","₹1 - ₹1,000",Never,Every 6 months,Quarterly,Price/Discounts|Customer Reviews|Product Quality,Slow delivery|Lack of personalization,Very Important,Moderately Important,Extremely Important,Moderately Important,Moderately Important,Very Important,Extremely Important,Slightly Important,Moderately Important,Moderately important,Up to 5% more,Extremely important,Trendy & Fashion-forward,"Influencer Recommendations|Platform Recommendations|Social Media (Instagram, Facebook, YouTube)|Fashion/Lifestyle Blogs/Magazines|Word of Mouth (Friends/Family)",Wellness - Fitness Products|Footwear|Home Décor - Furnishings|Western Wear|Women's Fashion|Home Décor - Decorative Items,Personalized style recommendations|Loyalty rewards program|Subscription boxes|Custom/personalized products,Maybe/Not sure (3),₹1 - ₹500,Not sure,NO,Not interested in these product categories,N/A,,,No
RESP_0218,38:05.4,35-44 years,Female,Metro Cities,Salaried Professional (Private Sector),Undergraduate (Bachelor's degree),"₹1,00,001 - ₹1,50,000",Married with children,5 or more,2-3 times a month,Ajio|Brand Websites directly,Fashion - Accessories|Home Décor - Wall Art,Equally use multiple devices,"₹2,501 - ₹5,000","₹3,001 - ₹5,000","₹1 - ₹1,000",₹0,Quarterly,Every 6 months,Never,Easy Returns/Exchanges|Price/Discounts|Customer Reviews,Misleading product descriptions/images|Complicated return process|Slow delivery|Lack of personalization|Payment security concerns,Very Important,Extremely Important,Extremely Important,Moderately Important,Very Important,Very Important,Very Important,Not Important,Not Important,Extremely important,11-20% more,Slightly important,Classic & Timeless,Online Ads|Other|Influencer Recommendations,Fashion Accessories|Home Décor - Furnishings|Wellness - Haircare|Home Décor - Kitchen & Dining|Men's Fashion|Wellness - Skincare|Wellness - Fitness Products,Same-day delivery|Rent/Trial before purchase|Live shopping events|Style consultation services,Maybe/Not sure (3),"₹3,001 - ₹5,000",Probably yes,NO,Price concerns,N/A,,,No
RESP_0219,06:14.4,35-44 years,Female,Tier 3 Cities/Towns,Business Owner/Entrepreneur,Postgraduate (Master's degree or higher),"₹50,001 - ₹75,000",Married with children,5 or more,2-3 times a month,Ajio|Flipkart|FirstCry|Brand Websites directly,Home Décor - Furnishings|Home Décor - Lighting,Tablet,"₹2,501 - ₹5,000",₹0,₹0,₹0,Never,Never,Never,Easy Returns/Exchanges|Product Variety|User-friendly Website/App,Not enough sustainable/ethical options|Lack of personalization|Other,Moderately Important,Moderately Important,Moderately Important,Extremely Important,Slightly Important,Very Important,Very Important,Not Important,Moderately Important,Slightly important,I wouldn't pay more,Moderately important,Premium Quality,Word of Mouth (Friends/Family)|Online Ads,Women's Fashion|Fashion Accessories|Footwear|Wellness - Skincare|Wellness - Supplements|Ethnic Wear,Personalized style recommendations|Same-day delivery|Virtual try-on for clothes/décor,Probably won't try (2),₹0,Probably not,NO,Other,N/A,,,No
RESP_0220,26:23.4,45-54 years,Male,Metro Cities,Freelancer/Consultant,Undergraduate (Bachelor's degree),"Below ₹25,000",Married without children,03-Apr,Once a month,Pepperfry|Myntra,Wellness - Fitness Equipment|Electronics,Smartphone,"Below ₹1,000",₹0,₹0,"₹1,001 - ₹2,000",Never,Never,Every 6 months,Price/Discounts|Product Quality|Product Variety,Slow delivery|Misleading product descriptions/images|Other,Moderately Important,Very Important,Moderately Important,Very Important,Moderately Important,Not Important,Moderately Important,Moderately Important,Very Important,Not important at all,I wouldn't pay more,Slightly important,Budget-conscious,"Influencer Recommendations|Other|Platform Recommendations|Social Media (Instagram, Facebook, YouTube)",Home Décor - Furniture|Footwear,Live shopping events|Subscription boxes|Same-day delivery,Probably will try (4),₹1 - ₹500,Not sure,YES,N/A,Rewards/Loyalty Program|Sustainability Focus|Exclusive Products,,,Yes
RESP_0221,32:40.4,35-44 years,Female,Tier 2 Cities,Salaried Professional (Government/PSU),Undergraduate (Bachelor's degree),"₹25,000 - ₹50,000",Married with children,5 or more,Once every few months,Amazon|Other|Meesho|Brand Websites directly,Wellness - Haircare|Home Décor - Furnishings|Fashion - Women's Clothing|Wellness - Skincare|Other|Fashion - Accessories|Groceries|Wellness - Fitness Equipment,Smartphone,"₹2,501 - ₹5,000","₹5,001 - ₹10,000","₹1,001 - ₹2,500","₹2,001 - ₹3,500",Monthly,Every 6 months,Quarterly,Customer Reviews|Product Quality|Brand Reputation,Misleading product descriptions/images|Poor quality products|Too many options (overwhelming)|Poor customer service,Very Important,Moderately Important,Moderately Important,Not Important,Slightly Important,Extremely Important,Extremely Important,Very Important,Very Important,Moderately important,6-10% more,Extremely important,Budget-conscious,"Email Newsletters|Search Engines (Google)|Social Media (Instagram, Facebook, YouTube)",Women's Fashion|Fashion Accessories,Same-day delivery|Live shopping events|Personalized style recommendations|Custom/personalized products,Maybe/Not sure (3),"₹1,501 - ₹3,000",Definitely not,NO,Not interested in these product categories,N/A,,,No
RESP_0222,34:22.4,35-44 years,Male,Tier 1 Cities,Salaried Professional (Private Sector),Postgraduate (Master's degree or higher),"₹75,001 - ₹1,00,000",Married with children,03-Apr,Once a week,Meesho|Other|FirstCry|Myntra|Ajio,Wellness - Fitness Equipment|Books|Fashion - Footwear|Electronics|Fashion - Kids' Clothing|Wellness - Skincare|Other,Laptop/Desktop,"₹5,001 - ₹10,000","₹3,001 - ₹5,000",₹0,"₹1,001 - ₹2,000",Every 6 months,Never,Monthly,Unique/Exclusive Products|Product Quality|Customer Reviews,Misleading product descriptions/images|Poor customer service,Extremely Important,Very Important,Moderately Important,Slightly Important,Very Important,Extremely Important,Extremely Important,Moderately Important,Extremely Important,Slightly important,Up to 5% more,Very important,Impulsive,Other|Fashion/Lifestyle Blogs/Magazines,Footwear|Home Décor - Furniture|Wellness - Skincare|Wellness - Supplements|Wellness - Haircare|Kids' Fashion,Subscription boxes|Custom/personalized products,Probably won't try (2),₹0,Probably not,NO,Other,N/A,,,No
RESP_0223,37:07.4,18-24 years,Male,Metro Cities,Salaried Professional (Private Sector),Professional degree,"₹50,001 - ₹75,000",Single,1 (Living alone),Multiple times a week,FirstCry|Instagram Shopping|Myntra|Brand Websites directly|Urban Ladder|Amazon|Nykaa,Fashion - Footwear|Groceries,Smartphone,"₹10,001 - ₹20,000",₹0,₹0,₹0,Never,Never,Never,Product Variety|User-friendly Website/App|Product Quality,Poor quality products|Lack of personalization|Lack of Indian/artisan products|Slow delivery,Extremely Important,Very Important,Moderately Important,Extremely Important,Very Important,Extremely Important,Very Important,Very Important,Moderately Important,Extremely important,More than 20% extra,Not important at all,Trendy & Fashion-forward,"Influencer Recommendations|Social Media (Instagram, Facebook, YouTube)|Search Engines (Google)|Online Ads",Wellness - Fitness Products|Men's Fashion|Footwear,Personalized style recommendations|Loyalty rewards program|Rent/Trial before purchase,Probably won't try (2),₹0,Not sure,NO,Not interested in these product categories,N/A,,,No
RESP_0224,49:29.4,25-34 years,Female,Metro Cities,Salaried Professional (Private Sector),Professional degree,"₹50,001 - ₹75,000",Single,1 (Living alone),Once every few months,Instagram Shopping|Brand Websites directly|Ajio|Pepperfry|Myntra,Home Décor - Furnishings|Home Décor - Wall Art|Home Décor - Kitchen & Dining|Fashion - Men's Clothing,Smartphone,"₹1,000 - ₹2,500","₹3,001 - ₹5,000","₹2,501 - ₹5,000",₹0,Quarterly,Every 6 months,Never,User-friendly Website/App|Brand Reputation|Price/Discounts,Slow delivery|Complicated return process|Misleading product descriptions/images,Slightly Important,Moderately Important,Very Important,Very Important,Very Important,Extremely Important,Extremely Important,Not Important,Very Important,Not important at all,I wouldn't pay more,Not important at all,Classic & Timeless,"Influencer Recommendations|Platform Recommendations|Social Media (Instagram, Facebook, YouTube)|Word of Mouth (Friends/Family)",Wellness - Skincare|Home Décor - Furnishings|Fashion Accessories|Western Wear|Home Décor - Furniture|Women's Fashion,Subscription boxes|Same-day delivery|Rent/Trial before purchase|Custom/personalized products|Loyalty rewards program,Probably will try (4),"₹501 - ₹1,500",Not sure,NO,Not interested in these product categories,N/A,,,No
RESP_0225,05:56.4,25-34 years,Male,Metro Cities,Salaried Professional (Private Sector),Postgraduate (Master's degree or higher),"₹75,001 - ₹1,00,000",Single,03-Apr,2-3 times a month,Pepperfry|Brand Websites directly|Nykaa,Fashion - Footwear|Fashion - Men's Clothing|Wellness - Supplements & Vitamins,Equally use multiple devices,"Below ₹1,000","₹5,001 - ₹10,000",₹0,"₹1 - ₹1,000",Quarterly,Never,Quarterly,Customer Service|Product Variety|Sustainable/Eco-friendly Products,Complicated return process|Slow delivery|Lack of Indian/artisan products|Lack of personalization|Too many options (overwhelming),Moderately Important,Slightly Important,Very Important,Extremely Important,Moderately Important,Extremely Important,Extremely Important,Extremely Important,Moderately Important,Very important,Up to 5% more,Moderately important,Trendy & Fashion-forward,"Influencer Recommendations|Social Media (Instagram, Facebook, YouTube)|Online Ads|Other|Word of Mouth (Friends/Family)",Footwear|Men's Fashion|Western Wear|Wellness - Skincare|Home Décor - Kitchen & Dining|Home Décor - Furnishings,Live shopping events|Custom/personalized products|Rent/Trial before purchase|Same-day delivery,Maybe/Not sure (3),"₹1,501 - ₹3,000",Probably not,NO,Price concerns,N/A,,,Yes
RESP_0226,11:25.4,25-34 years,Female,Tier 1 Cities,Student,Postgraduate (Master's degree or higher),"Below ₹25,000",Married without children,5 or more,2-3 times a month,Nykaa|Brand Websites directly|Amazon|Pepperfry|Other,Fashion - Accessories|Fashion - Men's Clothing,Equally use multiple devices,"₹1,000 - ₹2,500","₹1,501 - ₹3,000",₹0,₹0,Quarterly,Never,Never,Customer Reviews|Price/Discounts|Easy Returns/Exchanges,Payment security concerns|Poor quality products|High shipping charges,Moderately Important,Very Important,Moderately Important,Slightly Important,Slightly Important,Very Important,Extremely Important,Very Important,Slightly Important,Extremely important,11-20% more,Slightly important,Classic & Timeless,"Social Media (Instagram, Facebook, YouTube)|Platform Recommendations|Word of Mouth (Friends/Family)",Wellness - Skincare|Fashion Accessories|Kids' Fashion|Wellness - Fitness Products,Personalized style recommendations|Subscription boxes|Style consultation services|Loyalty rewards program|Same-day delivery|Live shopping events,Maybe/Not sure (3),"₹5,001 - ₹10,000",Definitely yes,NO,Don't trust new platforms,N/A,,,No
RESP_0227,05:10.4,55+ years,Male,Tier 1 Cities,Salaried Professional (Government/PSU),Undergraduate (Bachelor's degree),"₹75,001 - ₹1,00,000",Married without children,03-Apr,Once a month,Flipkart|Pepperfry|Meesho,Books|Electronics|Fashion - Footwear|Fashion - Kids' Clothing|Fashion - Men's Clothing|Groceries|Home Décor - Wall Art,Smartphone,"₹5,001 - ₹10,000","₹1,501 - ₹3,000","₹5,001 - ₹10,000",₹0,Every 6 months,Monthly,Never,Brand Reputation|Unique/Exclusive Products|Sustainable/Eco-friendly Products,Payment security concerns|Slow delivery,Extremely Important,Moderately Important,Moderately Important,Very Important,Extremely Important,Extremely Important,Extremely Important,Extremely Important,Moderately Important,Slightly important,Up to 5% more,Very important,Planned & Researched,Word of Mouth (Friends/Family)|Platform Recommendations|Other|Fashion/Lifestyle Blogs/Magazines,Men's Fashion|Home Décor - Furniture|Kids' Fashion|Ethnic Wear|Western Wear|Home Décor - Decorative Items|Wellness - Supplements,Virtual try-on for clothes/décor|Live shopping events|Rent/Trial before purchase,Maybe/Not sure (3),₹1 - ₹500,Probably not,NO,Don't trust new platforms,N/A,,,Yes
RESP_0228,27:40.4,25-34 years,Male,Tier 2 Cities,Salaried Professional (Private Sector),Postgraduate (Master's degree or higher),"₹1,50,001 - ₹2,00,000",Other,1 (Living alone),Once a week,Nykaa|Brand Websites directly|FirstCry|Other|Pepperfry|Instagram Shopping|Myntra,Fashion - Footwear|Wellness - Skincare|Groceries,Equally use multiple devices,"₹10,001 - ₹20,000","₹5,001 - ₹10,000",₹0,"₹2,001 - ₹3,500",Quarterly,Never,Monthly,Product Quality|Unique/Exclusive Products|Fast Delivery,Too many options (overwhelming)|Payment security concerns|Lack of Indian/artisan products|High shipping charges|Slow delivery,Very Important,Not Important,Moderately Important,Very Important,Moderately Important,Very Important,Slightly Important,Extremely Important,Moderately Important,Slightly important,Up to 5% more,Very important,Budget-conscious,"Social Media (Instagram, Facebook, YouTube)|Influencer Recommendations|Fashion/Lifestyle Blogs/Magazines",Wellness - Fitness Products|Footwear,Style consultation services|Loyalty rewards program|Rent/Trial before purchase,Probably will try (4),"₹501 - ₹1,500",Not sure,NO,Price concerns,N/A,,,No
RESP_0229,23:38.4,45-54 years,Prefer not to say,Metro Cities,Salaried Professional (Private Sector),Undergraduate (Bachelor's degree),"₹50,001 - ₹75,000",Married with children,5 or more,Once a month,FirstCry|Pepperfry|Flipkart,Wellness - Fitness Equipment|Other|Wellness - Haircare,Smartphone,"₹1,000 - ₹2,500",₹0,₹0,"₹1 - ₹1,000",Never,Never,Quarterly,Fast Delivery|Brand Reputation|Customer Service,High shipping charges|Not enough sustainable/ethical options|Poor quality products,Moderately Important,Moderately Important,Moderately Important,Slightly Important,Moderately Important,Slightly Important,Moderately Important,Moderately Important,Extremely Important,Slightly important,Up to 5% more,Extremely important,Budget-conscious,"Social Media (Instagram, Facebook, YouTube)|Other|Online Ads",Footwear|Men's Fashion,Same-day delivery|Subscription boxes|Personalized style recommendations,Probably will try (4),₹1 - ₹500,Probably yes,YES,N/A,Supporting Indian Artisans|Easy Returns|Sustainability Focus,,,Yes
RESP_0230,24:40.4,35-44 years,Male,Metro Cities,Salaried Professional (Private Sector),Undergraduate (Bachelor's degree),"₹75,001 - ₹1,00,000",Married with children,03-Apr,2-3 times a month,FirstCry|Instagram Shopping|Meesho,Fashion - Men's Clothing|Wellness - Skincare,Laptop/Desktop,"₹1,000 - ₹2,500","Above ₹20,000",₹0,"₹1,001 - ₹2,000",Monthly,Never,Monthly,User-friendly Website/App|Unique/Exclusive Products|Customer Service,Misleading product descriptions/images|Poor customer service,Not Important,Moderately Important,Moderately Important,Moderately Important,Very Important,Very Important,Slightly Important,Moderately Important,Moderately Important,Moderately important,Price doesn't matter if sustainable,Extremely important,Impulsive,Search Engines (Google)|Influencer Recommendations|Other,Men's Fashion|Home Décor - Furniture,Style consultation services|Same-day delivery|Subscription boxes|Loyalty rewards program,Maybe/Not sure (3),"₹501 - ₹1,500",Not sure,YES,N/A,Supporting Indian Artisans|Sustainability Focus|Excellent Customer Service,,,No
RESP_0231,37:33.4,35-44 years,Female,Tier 2 Cities,Salaried Professional (Government/PSU),Postgraduate (Master's degree or higher),"₹75,001 - ₹1,00,000",Married with children,2,Once a week,Nykaa|Other|Amazon|FirstCry|Brand Websites directly|Instagram Shopping|Pepperfry,Wellness - Skincare|Wellness - Haircare|Fashion - Kids' Clothing|Wellness - Yoga & Meditation,Smartphone,"₹2,501 - ₹5,000","₹1 - ₹1,500",₹0,"₹1,001 - ₹2,000",Once a year,Never,Every 6 months,Customer Reviews|Sustainable/Eco-friendly Products|Brand Reputation,Misleading product descriptions/images|Slow delivery,Very Important,Very Important,Not Important,Moderately Important,Slightly Important,Extremely Important,Not Important,Very Important,Extremely Important,Slightly important,6-10% more,Very important,Trendy & Fashion-forward,"Social Media (Instagram, Facebook, YouTube)|Fashion/Lifestyle Blogs/Magazines",Home Décor - Furnishings|Women's Fashion,Personalized style recommendations|Virtual try-on for clothes/décor|Same-day delivery|Rent/Trial before purchase,Probably won't try (2),₹0,Definitely not,NO,Other,N/A,,,No
RESP_0232,21:38.4,25-34 years,Male,Metro Cities,Business Owner/Entrepreneur,Postgraduate (Master's degree or higher),"₹75,001 - ₹1,00,000",Married with children,03-Apr,2-3 times a month,Instagram Shopping|Pepperfry,Books|Fashion - Men's Clothing|Fashion - Footwear|Electronics|Home Décor - Furnishings|Fashion - Kids' Clothing|Wellness - Fitness Equipment|Other,Smartphone,"₹1,000 - ₹2,500","₹3,001 - ₹5,000","₹2,501 - ₹5,000","₹1,001 - ₹2,000",Once a year,Every 6 months,Quarterly,Customer Reviews|Easy Returns/Exchanges|Unique/Exclusive Products,Payment security concerns|Not enough sustainable/ethical options,Not Important,Not Important,Slightly Important,Moderately Important,Slightly Important,Very Important,Moderately Important,Slightly Important,Moderately Important,Very important,More than 20% extra,Not important at all,Classic & Timeless,Influencer Recommendations|Platform Recommendations|Fashion/Lifestyle Blogs/Magazines|Other,Home Décor - Furniture|Footwear|Ethnic Wear|Wellness - Skincare,Loyalty rewards program|Style consultation services|Same-day delivery|Personalized style recommendations,Probably will try (4),₹1 - ₹500,Not sure,YES,N/A,Sustainability Focus|Supporting Indian Artisans|Personalized Experience,,,Yes
RESP_0233,38:23.4,35-44 years,Male,Tier 3 Cities/Towns,Salaried Professional (Private Sector),Undergraduate (Bachelor's degree),"₹1,00,001 - ₹1,50,000",Married with children,2,Once a month,Ajio|Instagram Shopping|Meesho|Other,Books|Wellness - Fitness Equipment|Groceries|Home Décor - Furnishings,Equally use multiple devices,"₹10,001 - ₹20,000",₹0,"Above ₹10,000","₹2,001 - ₹3,500",Never,Quarterly,Every 6 months,Customer Service|Product Variety|Price/Discounts,Other|Lack of personalization|High shipping charges|Slow delivery,Very Important,Moderately Important,Moderately Important,Very Important,Moderately Important,Extremely Important,Extremely Important,Moderately Important,Slightly Important,Very important,I wouldn't pay more,Moderately important,Impulsive,Other|Email Newsletters,Men's Fashion|Home Décor - Furniture,Live shopping events|Style consultation services|Personalized style recommendations|Rent/Trial before purchase,Maybe/Not sure (3),₹1 - ₹500,Definitely yes,NO,Don't trust new platforms,N/A,,,Yes
RESP_0234,52:26.4,25-34 years,Male,Tier 3 Cities/Towns,Salaried Professional (Private Sector),Professional degree,"₹50,001 - ₹75,000",Single,2,2-3 times a month,Instagram Shopping|Nykaa|Myntra,Fashion - Footwear|Fashion - Men's Clothing|Wellness - Fitness Equipment|Other|Fashion - Accessories|Home Décor - Lighting|Wellness - Aromatherapy,Smartphone,"₹2,501 - ₹5,000","₹1 - ₹1,500","₹1 - ₹1,000","₹2,001 - ₹3,500",Quarterly,Every 6 months,Monthly,Unique/Exclusive Products|Product Variety|Fast Delivery,Poor quality products|Poor customer service|Lack of personalization,Very Important,Very Important,Very Important,Very Important,Slightly Important,Slightly Important,Moderately Important,Slightly Important,Slightly Important,Extremely important,6-10% more,Moderately important,Planned & Researched,"Platform Recommendations|Social Media (Instagram, Facebook, YouTube)|Other",Men's Fashion|Home Décor - Furniture|Footwear|Kids' Fashion|Home Décor - Furnishings|Women's Fashion,Virtual try-on for clothes/décor|Custom/personalized products|Subscription boxes,Definitely will try (5),"₹501 - ₹1,500",Definitely yes,YES,N/A,Sustainability Focus|Fast & Reliable Delivery|Exclusive Products,,,Yes
RESP_0235,35:55.4,18-24 years,Female,Tier 2 Cities,Freelancer/Consultant,High School or below,"₹50,001 - ₹75,000",Single,1 (Living alone),Multiple times a week,Brand Websites directly|Other|Amazon,Home Décor - Furnishings|Wellness - Skincare|Wellness - Haircare|Wellness - Fitness Equipment|Home Décor - Lighting|Groceries|Wellness - Supplements & Vitamins,Laptop/Desktop,"₹5,001 - ₹10,000",₹0,"₹2,501 - ₹5,000","₹2,001 - ₹3,500",Never,Once a year,Monthly,Fast Delivery|Customer Service|Product Quality,Complicated return process|Poor customer service|Poor quality products|Payment security concerns|Too many options (overwhelming),Moderately Important,Very Important,Slightly Important,Very Important,Slightly Important,Moderately Important,Extremely Important,Moderately Important,Slightly Important,Not important at all,I wouldn't pay more,Moderately important,Classic & Timeless,"Social Media (Instagram, Facebook, YouTube)|Influencer Recommendations|Online Ads|Word of Mouth (Friends/Family)|Email Newsletters|Other",Women's Fashion|Fashion Accessories,Same-day delivery|Virtual try-on for clothes/décor|Live shopping events|Subscription boxes|Loyalty rewards program,Maybe/Not sure (3),₹1 - ₹500,Probably yes,YES,N/A,Quality Products|Personalized Experience|Sustainability Focus,,,No
RESP_0236,58:10.4,35-44 years,Male,Tier 2 Cities,Salaried Professional (Private Sector),Undergraduate (Bachelor's degree),"Below ₹25,000",Married with children,03-Apr,2-3 times a month,Pepperfry|Amazon|Instagram Shopping|Meesho,Electronics|Fashion - Footwear|Books|Groceries|Other|Home Décor - Kitchen & Dining,Smartphone,"₹1,000 - ₹2,500","₹1,501 - ₹3,000","₹5,001 - ₹10,000",₹0,Quarterly,Every 6 months,Never,Price/Discounts|Product Quality|Product Quality,High shipping charges|Other,Moderately Important,Moderately Important,Moderately Important,Very Important,Extremely Important,Very Important,Very Important,Very Important,Moderately Important,Slightly important,I wouldn't pay more,Very important,Budget-conscious,Search Engines (Google)|Other|Email Newsletters,Footwear|Men's Fashion|Ethnic Wear|Wellness - Haircare|Home Décor - Decorative Items|Western Wear,Personalized style recommendations|Custom/personalized products|Virtual try-on for clothes/décor|Loyalty rewards program,Probably won't try (2),₹0,Definitely not,NO,Price concerns,N/A,,,No
RESP_0237,42:06.4,25-34 years,Female,Tier 3 Cities/Towns,Salaried Professional (Private Sector),High School or below,"₹75,001 - ₹1,00,000",Married without children,2,Once a month,Flipkart|Nykaa|Meesho,Fashion - Accessories|Home Décor - Furnishings|Home Décor - Wall Art|Wellness - Skincare|Wellness - Fitness Equipment|Fashion - Footwear|Fashion - Women's Clothing|Fashion - Men's Clothing,Smartphone,"₹5,001 - ₹10,000","₹3,001 - ₹5,000","₹5,001 - ₹10,000","₹1 - ₹1,000",Monthly,Monthly,Once a year,Price/Discounts|Brand Reputation|Easy Returns/Exchanges,Poor quality products|Lack of personalization|Lack of Indian/artisan products|Complicated return process|Other,Extremely Important,Very Important,Slightly Important,Moderately Important,Moderately Important,Slightly Important,Moderately Important,Slightly Important,Not Important,Moderately important,Up to 5% more,Extremely important,Impulsive,"Influencer Recommendations|Social Media (Instagram, Facebook, YouTube)|Online Ads|Platform Recommendations|Email Newsletters|Fashion/Lifestyle Blogs/Magazines",Home Décor - Furnishings|Wellness - Skincare|Wellness - Supplements|Home Décor - Kitchen & Dining|Women's Fashion,Loyalty rewards program|Custom/personalized products|Style consultation services,Maybe/Not sure (3),₹0,Not sure,NO,Other,N/A,,,No
RESP_0238,44:46.4,18-24 years,Male,Metro Cities,Unemployed/Looking for opportunities,Postgraduate (Master's degree or higher),"₹25,000 - ₹50,000",Single,03-Apr,Once a month,Myntra|Ajio|Other|Urban Ladder|Meesho,Wellness - Fitness Equipment|Fashion - Footwear,Smartphone,"₹1,000 - ₹2,500","₹1 - ₹1,500",₹0,"₹2,001 - ₹3,500",Quarterly,Never,Monthly,Customer Reviews|Price/Discounts|Sustainable/Eco-friendly Products,Lack of Indian/artisan products|Complicated return process|Slow delivery|Poor quality products|High shipping charges,Moderately Important,Moderately Important,Not Important,Slightly Important,Moderately Important,Slightly Important,Very Important,Not Important,Moderately Important,Very important,11-20% more,Extremely important,Trendy & Fashion-forward,Platform Recommendations|Influencer Recommendations|Word of Mouth (Friends/Family)|Other|Search Engines (Google)|Fashion/Lifestyle Blogs/Magazines,Men's Fashion|Wellness - Fitness Products|Wellness - Supplements|Wellness - Haircare|Fashion Accessories,Personalized style recommendations|Loyalty rewards program|Custom/personalized products,Probably will try (4),"₹1,501 - ₹3,000",Probably yes,YES,N/A,Sustainability Focus|Supporting Indian Artisans|Excellent Customer Service,,,Yes
RESP_0239,28:49.4,35-44 years,Non-binary,Metro Cities,Business Owner/Entrepreneur,Postgraduate (Master's degree or higher),"₹25,000 - ₹50,000",Married with children,5 or more,Once a month,Myntra|Nykaa|Pepperfry|Brand Websites directly,Fashion - Footwear|Wellness - Fitness Equipment|Books|Fashion - Men's Clothing|Wellness - Haircare|Home Décor - Furnishings|Home Décor - Lighting,Smartphone,"₹2,501 - ₹5,000","₹1 - ₹1,500","₹1 - ₹1,000","₹3,501 - ₹5,000",Once a year,Once a year,Quarterly,Price/Discounts|Product Quality|Customer Reviews,Too many options (overwhelming)|Complicated return process|Lack of personalization|Other|Misleading product descriptions/images,Slightly Important,Moderately Important,Extremely Important,Very Important,Very Important,Moderately Important,Moderately Important,Very Important,Extremely Important,Slightly important,Up to 5% more,Slightly important,Classic & Timeless,Fashion/Lifestyle Blogs/Magazines|Other|Email Newsletters,Men's Fashion|Wellness - Fitness Products|Home Décor - Furniture|Home Décor - Furnishings,Live shopping events|Virtual try-on for clothes/décor|Subscription boxes,Probably won't try (2),₹0,Definitely not,NO,Don't trust new platforms,N/A,,,Yes
